id,workload,iteration,metric,core,freq,value,units
a15_8_1,dhrystone,1,thread 0 score,A15,800000,1436782,
a15_8_1,dhrystone,1,thread 0 DMIPS,A15,800000,818,
a15_8_1,dhrystone,1,time,A15,800000,10.559942,seconds
a15_8_1,dhrystone,1,total DMIPS,A15,800000,818,
a15_8_1,dhrystone,1,total score,A15,800000,1436782,
a15_8_1,dhrystone,1,execution_time,A15,800000,10.6565959454,seconds
a15_8_1,dhrystone,1,A7_power,A15,800000,0.015,Watts
a15_8_1,dhrystone,1,A7_voltage,A15,800000,0.761,Volts
a15_8_1,dhrystone,1,A7_energy,A15,800000,18.342,Joules
a15_8_1,dhrystone,1,A15c_power,A15,800000,0.072,Watts
a15_8_1,dhrystone,1,A15c_voltage,A15,800000,0.701,Volts
a15_8_1,dhrystone,1,A15c_energy,A15,800000,86.21,Joules
a15_8_1,dhrystone,1,A15b_power,A15,800000,0.047,Watts
a15_8_1,dhrystone,1,A15b_voltage,A15,800000,0.701,Volts
a15_8_1,dhrystone,1,A15b_energy,A15,800000,56.772,Joules
a15_8_1,dhrystone,1,A15a_power,A15,800000,0.045,Watts
a15_8_1,dhrystone,1,A15a_voltage,A15,800000,0.701,Volts
a15_8_1,dhrystone,1,A15a_energy,A15,800000,54.361,Joules
a15_9_1,dhrystone,1,thread 0 score,A15,900000,1607717,
a15_9_1,dhrystone,1,thread 0 DMIPS,A15,900000,915,
a15_9_1,dhrystone,1,time,A15,900000,9.453927,seconds
a15_9_1,dhrystone,1,total DMIPS,A15,900000,915,
a15_9_1,dhrystone,1,total score,A15,900000,1607717,
a15_9_1,dhrystone,1,execution_time,A15,900000,9.53231906891,seconds
a15_9_1,dhrystone,1,A7_power,A15,900000,0.018,Watts
a15_9_1,dhrystone,1,A7_voltage,A15,900000,0.761,Volts
a15_9_1,dhrystone,1,A7_energy,A15,900000,19.131,Joules
a15_9_1,dhrystone,1,A15c_power,A15,900000,0.082,Watts
a15_9_1,dhrystone,1,A15c_voltage,A15,900000,0.713,Volts
a15_9_1,dhrystone,1,A15c_energy,A15,900000,85.802,Joules
a15_9_1,dhrystone,1,A15b_power,A15,900000,0.053,Watts
a15_9_1,dhrystone,1,A15b_voltage,A15,900000,0.713,Volts
a15_9_1,dhrystone,1,A15b_energy,A15,900000,55.268,Joules
a15_9_1,dhrystone,1,A15a_power,A15,900000,0.052,Watts
a15_9_1,dhrystone,1,A15a_voltage,A15,900000,0.713,Volts
a15_9_1,dhrystone,1,A15a_energy,A15,900000,54.395,Joules
a15_10_1,dhrystone,1,thread 0 score,A15,1000000,1787843,
a15_10_1,dhrystone,1,thread 0 DMIPS,A15,1000000,1018,
a15_10_1,dhrystone,1,time,A15,1000000,8.505797,seconds
a15_10_1,dhrystone,1,total DMIPS,A15,1000000,1018,
a15_10_1,dhrystone,1,total score,A15,1000000,1787843,
a15_10_1,dhrystone,1,execution_time,A15,1000000,8.56275200844,seconds
a15_10_1,dhrystone,1,A7_power,A15,1000000,0.015,Watts
a15_10_1,dhrystone,1,A7_voltage,A15,1000000,0.762,Volts
