id,workload,iteration,metric,core,freq,value,units
A15_8_1,dhrystone,1,thread 0 score,A15,800000,1283697,
A15_8_1,dhrystone,1,thread 0 DMIPS,A15,800000,731,
A15_8_1,dhrystone,1,time,A15,800000,3.94321,seconds
A15_8_1,dhrystone,1,total DMIPS,A15,800000,731,
A15_8_1,dhrystone,1,total score,A15,800000,1283697,
A15_8_1,dhrystone,1,execution_time,A15,800000,4.08173394203,seconds
A15_8_1,dhrystone,1,A7_power,A15,800000,0.186,Watts
A15_8_1,dhrystone,1,A7_voltage,A15,800000,0.902,Volts
A15_8_1,dhrystone,1,A7_energy,A15,800000,93.029,Joules
A15_8_1,dhrystone,1,A15b_power,A15,800000,0.217,Watts
A15_8_1,dhrystone,1,A15b_voltage,A15,800000,0.902,Volts
A15_8_1,dhrystone,1,A15b_energy,A15,800000,108.572,Joules
A15_8_1,dhrystone,1,A15a_power,A15,800000,0.109,Watts
A15_8_1,dhrystone,1,A15a_voltage,A15,800000,1.058,Volts
A15_8_1,dhrystone,1,A15a_energy,A15,800000,54.571,Joules
A15_9_1,dhrystone,1,thread 0 score,A15,900000,1434720,
A15_9_1,dhrystone,1,thread 0 DMIPS,A15,900000,817,
A15_9_1,dhrystone,1,time,A15,900000,3.496026,seconds
A15_9_1,dhrystone,1,total DMIPS,A15,900000,817,
A15_9_1,dhrystone,1,total score,A15,900000,1434720,
A15_9_1,dhrystone,1,execution_time,A15,900000,3.60121107101,seconds
A15_9_1,dhrystone,1,A7_power,A15,900000,0.202,Watts
A15_9_1,dhrystone,1,A7_voltage,A15,900000,0.902,Volts
A15_9_1,dhrystone,1,A7_energy,A15,900000,90.959,Joules
A15_9_1,dhrystone,1,A15b_power,A15,900000,0.242,Watts
A15_9_1,dhrystone,1,A15b_voltage,A15,900000,0.902,Volts
A15_9_1,dhrystone,1,A15b_energy,A15,900000,108.8,Joules
A15_9_1,dhrystone,1,A15a_power,A15,900000,0.103,Watts
A15_9_1,dhrystone,1,A15a_voltage,A15,900000,1.058,Volts
A15_9_1,dhrystone,1,A15a_energy,A15,900000,46.534,Joules
A15_10_1,dhrystone,1,thread 0 score,A15,1000000,1579779,
A15_10_1,dhrystone,1,thread 0 DMIPS,A15,1000000,899,
A15_10_1,dhrystone,1,time,A15,1000000,3.197584,seconds
A15_10_1,dhrystone,1,total DMIPS,A15,1000000,899,
A15_10_1,dhrystone,1,total score,A15,1000000,1579779,
A15_10_1,dhrystone,1,execution_time,A15,1000000,3.28740596771,seconds
A15_10_1,dhrystone,1,A7_power,A15,1000000,0.241,Watts
A15_10_1,dhrystone,1,A7_voltage,A15,1000000,0.927,Volts
A15_10_1,dhrystone,1,A7_energy,A15,1000000,108.556,Joules
A15_10_1,dhrystone,1,A15b_power,A15,1000000,0.279,Watts
A15_10_1,dhrystone,1,A15b_voltage,A15,1000000,0.927,Volts
A15_10_1,dhrystone,1,A15b_energy,A15,1000000,125.436,Joules
A15_10_1,dhrystone,1,A15a_power,A15,1000000,0.112,Watts
A15_10_1,dhrystone,1,A15a_voltage,A15,1000000,1.059,Volts
